word,sentense,pronounce,definition
Adventure,"Our hike was an exciting adventure.","ad-VEN-chur","an exciting experience"
Antelope,"The antelope ran quickly across the field.","AN-tuh-lohp","a deer-like animal that lives in grasslands"
Basket,"She carried apples in a woven basket.","BAS-kit","a container used to carry or hold things"
Bewildered,"I was bewildered by the puzzle.","bih-WIL-derd","confused"
Blossom,"The cherry trees are starting to blossom.","BLOS-uhm","to produce flowers"
Breeze,"A cool breeze made the hot day feel better.","BREEZ","a light wind"
Candid,"I appreciate your candid opinion.","KAN-did","honest and direct"
Cavern,"The cavern was dark and full of bats.","KAV-urn","a large cave"
Crocodile,"A crocodile has sharp teeth.","KROK-uh-dyl","a large reptile that lives near water"
Deception,"The magician’s trick was a deception.","dee-SEP-shun","something meant to trick or mislead"
Delight,"Her smile was full of delight.","di-LITE","great happiness; pleasure"
Dinosaur,"Dinosaurs lived millions of years ago.","DYE-nuh-sor","a large animal that lived long ago"
Eccentric,"The artist had an eccentric style.","ek-SEN-trik","unusual in a way people notice"
Elephant,"The elephant sprayed water with its trunk.","EL-uh-fuhnt","a very large animal with a trunk"
Erosion,"Erosion shaped the canyon over time.","ih-ROH-zhun","wearing away of rock or soil by wind or water"
Excited,"I was excited for my birthday party.","ek-SY-tid","happy and eager"
Fascinate,"The stars fascinate me at night.","FAS-uh-nayt","to interest greatly"
Feather,"I found a soft feather on the ground.","FEH-thur","one of the soft coverings of a bird"
Flourish,"The flowers flourished in the spring.","FLUR-ish","to grow well; do well"
Gargle,"I had to gargle with mouthwash.","GAR-guhl","to rinse the throat by bubbling liquid in the back of the mouth"
Gazebo,"We had a picnic under the gazebo.","guh-ZEE-boh","a small roofed outdoor shelter"
Giraffe,"A giraffe has a long neck to reach tree leaves.","ji-RAF","a tall animal with a very long neck"
Glimmer,"The water had a soft glimmer in the moonlight.","GLIM-ur","a faint light or shine"
Gratitude,"I showed gratitude for the gift.","GRAT-ih-tood","thankfulness"
Haphazard,"His room was arranged in a haphazard manner.","hap-HAZ-erd","without order; messy"
Harmony,"The choir sang in perfect harmony.","HAR-muh-nee","the pleasing sound of things working well together"
Horizon,"The sun set beyond the horizon.","huh-RY-zuhn","the line where the sky seems to meet the land or sea"
Illusion,"The magician created an amazing illusion.","ih-LOO-zhun","something that looks real but is not"
Impeccable,"His handwriting was impeccable.","im-PEK-uh-buhl","perfect; without mistakes"
Island,"We visited a small island during vacation.","EYE-luhnd","land surrounded by water"
Jolly,"Santa Claus is always jolly.","JOL-ee","happy and cheerful"
Journey,"The long journey took us across the country.","JUR-nee","a trip from one place to another"
